area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,1200,3,2,Bangalore,4600000,3,1,3833.333333
Built-up  Area,18-03-2024 00:00,Haralur Road,4 BHK,3385,5,2,Bangalore,26000000,4,0,7680.945347
Super built-up  Area,Ready To Move,Nagondanahalli,3 BHK,1641,3,2,Bangalore,6600000,3,1,4021.937843
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1200,2,1,Bangalore,4500000,2,1,3750
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1260,2,1,Bangalore,6739000,2,1,5348.412698
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1720,3,3,Bangalore,7800000,3,1,4534.883721
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1132.5,2,0,Bangalore,4813000,2,1,4249.889625
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1210,2,1,Bangalore,4598000,2,1,3800
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,2200,4,2,Bangalore,20000000,4,1,9090.909091
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,Bangalore,4500000,3,1,4186.046512
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1702,3,2,Bangalore,13000000,3,1,7638.072855
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,1630,2,2,Bangalore,20000000,2,1,12269.93865
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1141,2,2,Bangalore,3855000,2,1,3378.61525
Super built-up  Area,18-04-2024 00:00,Shantiniketan Layout,3 BHK,2072,3,2,Bangalore,10800000,3,0,5212.355212
Super built-up  Area,18-12-2024 00:00,JP Nagar,5 BHK,5520,2,2,Bangalore,37500000,5,0,6793.478261
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,1200,2,0,Bangalore,7000000,3,1,5833.333333
Super built-up  Area,Ready To Move,Teachers Colony,3 BHK,1350,3,0,Bangalore,7700000,3,1,5703.703704
Built-up  Area,18-03-2024 00:00,Bettahalsoor,4 Bedroom,4046,4,0,Bangalore,44500000,4,0,10998.51705
Super built-up  Area,18-12-2024 00:00,Srinivasa Nagar,3 BHK,1180,2,2,Bangalore,7834000,3,0,6638.983051
Built-up  Area,Ready To Move,Yelahanka,3 BHK,35000,3,3,Bangalore,13000000,3,1,371.4285714
Super built-up  Area,Ready To Move,Langford Town,2 BHK,1355,2,2,Bangalore,11500000,2,1,8487.084871
Plot  Area,Ready To Move,Sulthangunta,1 Bedroom,600,1,0,Bangalore,5000000,1,1,8333.333333
Plot  Area,Ready To Move,Hormavu,7 Bedroom,1200,7,2,Bangalore,15000000,7,1,12500
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1640,2,1,Bangalore,12000000,3,1,7317.073171
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,1200,5,0,Bangalore,10000000,5,1,8333.333333
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,1190,2,2,Bangalore,5700000,3,1,4789.915966
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,2400,4,2,Bangalore,37500000,4,1,15625
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1019,2,2,Bangalore,4985000,2,1,4892.05103
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,1875,3,2,Bangalore,16500000,3,1,8800
Super built-up  Area,18-05-2024 00:00,Akshaya Nagar,3 BHK,1250,3,2,Bangalore,4000000,3,0,3200
Plot  Area,Ready To Move,Brookefield,3 Bedroom,1200,3,2,Bangalore,14000000,3,1,11666.66667
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,1,Bangalore,5600000,2,1,4912.280702
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1683,3,1,Bangalore,10900000,3,1,6476.530006
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1515,3,2,Bangalore,8330000,3,1,5498.349835
Super built-up  Area,19-12-2024 00:00,Hoodi,4 BHK,2118,4,2,Bangalore,11100000,4,0,5240.793201
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,1380,3,0,Bangalore,5800000,4,1,4202.898551
Super built-up  Area,Ready To Move,Varthur Road,2 BHK,1083,2,2,Bangalore,6175000,2,1,5701.754386
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,600,2,1,Bangalore,5500000,2,1,9166.666667
Built-up  Area,Ready To Move,Avalahalli,3 BHK,2300,3,3,Bangalore,12000000,3,1,5217.391304
Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,1240,2,2,Bangalore,6000000,2,1,4838.709677
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1750,3,1,Bangalore,12000000,3,1,6857.142857
Super built-up  Area,18-04-2024 00:00,Sadaramangala,2 BHK,1230,2,2,Bangalore,4348000,2,0,3534.95935
Plot  Area,17-08-2024 00:00,Anjanapura,3 Bedroom,1500,3,1,Bangalore,13900000,3,0,9266.666667
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985,2,1,Bangalore,4039000,2,1,4100.507614
Plot  Area,Ready To Move,Tindlu,3 Bedroom,1500,2,1,Bangalore,8700000,3,1,5800
Built-up  Area,18-12-2024 00:00,Electronic City,2 BHK,1125,2,1,Bangalore,3249000,2,0,2888
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2,1,Bangalore,4400000,2,1,4631.578947
Super built-up  Area,18-12-2024 00:00,JP Nagar,5 BHK,5600,2,2,Bangalore,54850000,5,0,9794.642857
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1580,3,3,Bangalore,7600000,3,1,4810.126582
Plot  Area,Ready To Move,B Narayanapura,3 Bedroom,1092,2,1,Bangalore,9850000,3,1,9020.14652
Built-up  Area,18-07-2024 00:00,Electronic City Phase II,2 BHK,1090,2,1,Bangalore,2834000,2,0,2600
Built-up  Area,19-03-2024 00:00,Hennur Road,3 Bedroom,2264,3,1,Bangalore,15900000,3,0,7022.968198
Super built-up  Area,19-08-2024 00:00,Dommasandra,3 BHK,1033,2,2,Bangalore,2553000,3,0,2471.442401
Super built-up  Area,18-04-2024 00:00,Kammasandra,2 BHK,810,2,2,Bangalore,2450000,2,0,3024.691358
Super built-up  Area,Ready To Move,Green Garden Layout,2 BHK,1045,2,0,Bangalore,4500000,2,1,4306.220096
Super built-up  Area,18-09-2024 00:00,Hebbal,2 BHK,1337,2,1,Bangalore,8200000,2,0,6133.133882
Super built-up  Area,Ready To Move,Chandapura,2 BHK,1200,2,2,Bangalore,3200000,2,1,2666.666667
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1580,3,2,Bangalore,16000000,3,1,10126.58228
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500,2,3,Bangalore,5400000,3,1,3600
Super built-up  Area,18-09-2024 00:00,Whitefield,3 BHK,1640,4,2,Bangalore,9100000,3,0,5548.780488
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,1570,3,2,Bangalore,6200000,3,1,3949.044586
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1470,2,2,Bangalore,8200000,3,1,5578.231293
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1160,2,2,Bangalore,4061000,2,1,3500.862069
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,Bangalore,7100000,2,1,6761.904762
Super built-up  Area,20-06-2024 00:00,Dairy Circle,3 BHK,1855,3,1,Bangalore,22500000,3,0,12129.38005
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460,2,1,Bangalore,9000000,3,1,6164.383562
Built-up  Area,Ready To Move,Hulimavu,3 BHK,1823,3,2,Bangalore,10000000,3,1,5485.463522
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1094,2,2,Bangalore,4200000,2,1,3839.122486
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,Bangalore,5700000,2,1,4943.625325
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,1325,3,1,Bangalore,5700000,3,1,4301.886792
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,1200,3,2,Bangalore,8500000,4,1,7083.333333
Built-up  Area,Ready To Move,Jakkur,3 BHK,1590,2,2,Bangalore,12500000,3,1,7861.63522
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,1210,4,2,Bangalore,16000000,5,1,13223.1405
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,1200,4,0,Bangalore,22000000,4,1,18333.33333
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,1202,2,1,Bangalore,4800000,2,1,3993.344426
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1202,2,1,Bangalore,5300000,2,1,4409.317804
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,1200,2,3,Bangalore,6250000,2,1,5208.333333
Super built-up  Area,18-02-2024 00:00,Panathur,3 BHK,1688,3,1,Bangalore,11800000,3,0,6990.521327
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1020,2,1,Bangalore,5200000,2,1,5098.039216
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1185,2,2,Bangalore,4700000,2,1,3966.244726
Super built-up  Area,17-10-2024 00:00,Ramagondanahalli,2 BHK,1235,2,1,Bangalore,5204000,2,0,4213.765182
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5,1,Bangalore,50000000,4,1,15600.62402
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1077,2,2,Bangalore,3764000,2,1,3494.893222
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,1415,2,3,Bangalore,6600000,3,1,4664.310954
Super built-up  Area,18-04-2024 00:00,EPIP Zone,3 BHK,2330,3,2,Bangalore,16200000,3,0,6952.7897
Super built-up  Area,Ready To Move,Whitefield,2 BHK,805,2,2,Bangalore,3500000,2,1,4347.826087
Built-up  Area,Ready To Move,P&T Colony,1 BHK,425,1,0,Bangalore,2003000,1,1,4712.941176
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2,3,Bangalore,5995000,2,1,5190.47619
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,5270,4,3,Bangalore,125000000,4,1,23719.16509
Super built-up  Area,Ready To Move,Anekal,2 BHK,656,2,1,Bangalore,2200000,2,1,3353.658537
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,1100,2,0,Bangalore,4800000,2,1,4363.636364
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1150,2,3,Bangalore,5200000,2,1,4521.73913
Plot  Area,Ready To Move,Chelekare,1 Bedroom,600,1,1,Bangalore,6000000,1,1,10000
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1468,2,1,Bangalore,14000000,2,1,9536.784741
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,4300,5,2,Bangalore,55000000,4,1,12790.69767
Super built-up  Area,18-12-2024 00:00,Whitefield,3 BHK,2280,4,2,Bangalore,12600000,3,0,5526.315789
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,1341,2,1,Bangalore,9700000,2,1,7233.407905
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1279,2,1,Bangalore,7700000,2,1,6020.328382
Super built-up  Area,18-12-2024 00:00,Electronic City Phase II,4 BHK,2225,4,0,Bangalore,9888000,4,0,4444.044944
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2,2,Bangalore,4351000,2,1,3671.729958
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,1750,3,2,Bangalore,8500000,3,1,4857.142857
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1152,2,1,Bangalore,5350000,2,1,4644.097222
Plot  Area,Ready To Move,Shivanagar,5 Bedroom,1000,4,1,Bangalore,16000000,5,1,16000
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1300,2,3,Bangalore,3600000,2,1,2769.230769
Plot  Area,18-11-2024 00:00,Varthur Road,4 Bedroom,2760,4,2,Bangalore,15500000,4,0,5615.942029
Super built-up  Area,18-08-2024 00:00,5th Phase JP Nagar,2 BHK,1070,2,2,Bangalore,3900000,2,0,3644.859813
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1101,2,0,Bangalore,4500000,2,1,4087.19346
Super built-up  Area,Ready To Move,V.V Puram,2 BHK,775,2,1,Bangalore,5500000,2,1,7096.774194
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,667,1,1,Bangalore,3685000,1,1,5524.737631
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,Bangalore,5500000,2,1,5140.186916
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,1875,2,2,Bangalore,11000000,3,1,5866.666667
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,735,2,1,Bangalore,5799000,2,1,7889.795918
Plot  Area,Ready To Move,Sarjapur,5 Bedroom,4360,4,1,Bangalore,9000000,5,1,2064.220183
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1750,3,2,Bangalore,13000000,3,1,7428.571429
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2,1,Bangalore,6700000,2,1,5514.403292
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,600,9,3,Bangalore,19000000,9,1,31666.66667
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,820,2,1,Bangalore,3000000,2,1,3658.536585
Super built-up  Area,20-12-2024 00:00,Banashankari Stage VI,2 BHK,1177.5,2,0,Bangalore,5993500,2,0,5090.021231
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1779,3,2,Bangalore,8961000,3,1,5037.099494
Built-up  Area,Ready To Move,HMT Layout,2 BHK,1105,2,2,Bangalore,5800000,2,1,5248.868778
Built-up  Area,Ready To Move,Basavanagara,1 BHK,,2,1,Bangalore,9300000,1,1,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1650,3,2,Bangalore,6000000,3,1,3636.363636
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1694,2,2,Bangalore,15000000,2,1,8854.781582
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2376,3,1,Bangalore,20300000,3,1,8543.771044
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1975,3,3,Bangalore,15000000,3,1,7594.936709
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674,2,1,Bangalore,3300000,2,1,4896.142433
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1185,2,1,Bangalore,4100000,2,1,3459.915612
Super built-up  Area,Ready To Move, Thanisandra,1 RK,445,1,0,Bangalore,2800000,1,1,6292.134831
Built-up  Area,Ready To Move,Mylasandra,6 Bedroom,900,7,2,Bangalore,7600000,6,1,8444.444444
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1475,3,2,Bangalore,7500000,3,1,5084.745763
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1618,3,3,Bangalore,8250000,3,1,5098.887515
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1120,2,0,Bangalore,6500000,2,1,5803.571429
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2181,3,2,Bangalore,15200000,4,1,6969.280147
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,1200,4,0,Bangalore,9000000,4,1,7500
Plot  Area,Ready To Move,Nagondanahalli,6 Bedroom,600,4,3,Bangalore,6500000,6,1,10833.33333
Super built-up  Area,18-10-2024 00:00,Bannerghatta Road,3 BHK,1556,2,1,Bangalore,5913000,3,0,3800.128535
Super built-up  Area,19-02-2024 00:00,Bannerghatta Road,2 BHK,1179,2,1,Bangalore,6602000,2,0,5599.660729
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1296,2,2,Bangalore,8300000,2,1,6404.320988
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1275,2,2,Bangalore,5200000,2,1,4078.431373
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,1875,2,2,Bangalore,30000000,7,1,16000
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1400,2,2,Bangalore,7700000,3,1,5500
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1222,2,1,Bangalore,6300000,2,1,5155.482815
Super built-up  Area,Ready To Move,Electronic City,2 BHK,940,2,1,Bangalore,4100000,2,1,4361.702128
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2,2,Bangalore,4260000,2,1,3594.936709
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1779,3,2,Bangalore,11200000,3,1,6295.671726
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615,3,2,Bangalore,5976000,3,1,3700.309598
Super built-up  Area,18-12-2024 00:00,JP Nagar,4 BHK,4624.5,2,2,Bangalore,45300000,4,0,9795.653584
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1056,2,1,Bangalore,6100000,2,1,5776.515152
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,0,Bangalore,4600000,2,1,4181.818182
Built-up  Area,Ready To Move,Arekere,2 BHK,920,2,1,Bangalore,4000000,2,1,4347.826087
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,1602,2,0,Bangalore,7500000,3,1,4681.64794
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1176,2,0,Bangalore,6200000,2,1,5272.108844
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,675,3,1,Bangalore,5900000,4,1,8740.740741
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1352,3,0,Bangalore,13500000,3,1,9985.207101
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1717,3,3,Bangalore,9900000,3,1,5765.870705
Plot  Area,18-04-2024 00:00,4 Bedroom Farm House in Bagalur,4 Bedroom,10961,4,1,Bangalore,8000000,4,0,729.8604142
Super built-up  Area,18-07-2024 00:00,Bhoganhalli,4 BHK,2119,4,3,Bangalore,11100000,4,0,5238.319962
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,Bangalore,6730000,2,1,5401.284109
Super built-up  Area,17-07-2024 00:00,Anandapura,2 BHK,1141,2,1,Bangalore,4279000,2,0,3750.219106
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1157,2,1,Bangalore,8400000,2,1,7260.155575
Super built-up  Area,18-08-2024 00:00,Chandapura,2 BHK,1025,2,2,Bangalore,2768000,2,0,2700.487805
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,650,1,2,Bangalore,3300000,1,1,5076.923077
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2,1,Bangalore,9800000,2,1,7264.640474
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,1566,3,1,Bangalore,8330000,3,1,5319.284802
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,2830,3,3,Bangalore,19500000,4,1,6890.459364
Built-up  Area,18-12-2024 00:00,Electronic City,3 BHK,1320,2,1,Bangalore,3813000,3,0,2888.636364
Super built-up  Area,18-11-2024 00:00,manyata park,3 BHK,1780,3,1,Bangalore,8483000,3,0,4765.730337
Super built-up  Area,Ready To Move,Varthur,2 BHK,1091,2,1,Bangalore,3490000,2,1,3198.900092
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,3670,4,3,Bangalore,30000000,4,1,8174.386921
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918,2,1,Bangalore,5049000,2,1,5500
Super built-up  Area,20-12-2024 00:00,Yeshwanthpur,4 BHK,1950,4,0,Bangalore,13000000,4,0,6666.666667
Super built-up  Area,Ready To Move,Panathur,3 BHK,1695,3,1,Bangalore,9000000,3,1,5309.734513
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705,3,2,Bangalore,9500000,3,1,5571.847507
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1375,3,2,Bangalore,7500000,3,1,5454.545455
Super built-up  Area,21-10-2024 00:00,Kanakpura Road,1 BHK,525,1,1,Bangalore,3000000,1,0,5714.285714
Built-up  Area,20-12-2024 00:00,Whitefield,2 BHK,1447,2,1,Bangalore,8300000,2,0,5736.005529
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1114,2,1,Bangalore,3900000,2,1,3500.897666
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2,1,Bangalore,10000000,3,1,6896.551724
Super built-up  Area,Ready To Move,Belathur,2 BHK,460,1,0,Bangalore,1500000,2,1,3260.869565
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,1022,2,2,Bangalore,4000000,2,1,3913.894325
Built-up  Area,Ready To Move,Hebbal,2 BHK,1000,2,2,Bangalore,4500000,2,1,4500
Super built-up  Area,18-04-2024 00:00,Electronic City,2 BHK,1128,2,1,Bangalore,6875000,2,0,6094.858156
Super built-up  Area,18-05-2024 00:00,Kanakpura Road,2 BHK,1180,2,2,Bangalore,5700000,2,0,4830.508475
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,1000,6,1,Bangalore,6900000,6,1,6900
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,1200,2,1,Bangalore,15000000,2,1,12500
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,3761,3,2,Bangalore,66000000,3,1,17548.52433
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2,3,Bangalore,7500000,2,1,5601.194922
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1400,2,3,Bangalore,5500000,3,1,3928.571429
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,Bangalore,3952000,2,1,3800
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1198,2,2,Bangalore,5800000,2,1,4841.402337
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,1200,3,2,Bangalore,9500000,4,1,7916.666667
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3,2,Bangalore,11300000,3,1,6682.436428
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,3,2,Bangalore,3600000,3,1,3348.837209
Super built-up  Area,18-06-2024 00:00,1st Block Jayanagar,3 BHK,1630,3,2,Bangalore,19400000,3,0,11901.84049
Super built-up  Area,18-06-2024 00:00,8th Phase JP Nagar,3 BHK,1240,3,2,Bangalore,4350000,3,0,3508.064516
Super built-up  Area,22-12-2024 00:00,Bannerghatta Road,2 BHK,1122.5,2,0,Bangalore,5893500,2,0,5250.334076
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3,2,Bangalore,8658000,3,1,5200
Built-up  Area,Ready To Move,Marathahalli,3 BHK,2489,3,2,Bangalore,9400000,3,1,3776.617115
Built-up  Area,Ready To Move,Brookefield,2 BHK,1142,2,2,Bangalore,7000000,2,1,6129.597198
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,1976,3,1,Bangalore,18400000,3,1,9311.740891
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,5500,4,2,Bangalore,60000000,4,1,10909.09091
Super built-up  Area,Ready To Move,Kothannur,3 BHK,1853,3,2,Bangalore,8200000,3,1,4425.256341
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,600,4,1,Bangalore,7200000,8,1,12000
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1567,2,2,Bangalore,9200000,2,1,5871.091257
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1090,2,1,Bangalore,2724000,2,1,2499.082569
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,1200,4,2,Bangalore,12500000,6,1,10416.66667
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,2400,4,1,Bangalore,64000000,4,1,26666.66667
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175,2,2,Bangalore,5147000,2,1,4380.425532
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1200,2,2,Bangalore,5200000,2,1,4333.333333
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,995,2,1,Bangalore,4100000,2,1,4120.603015
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,884,2,1,Bangalore,4110000,2,1,4649.321267
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,900,3,2,Bangalore,8000000,5,1,8888.888889
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1170,2,2,Bangalore,5700000,2,1,4871.794872
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1225,2,1,Bangalore,4655000,2,1,3800
Super built-up  Area,18-04-2024 00:00,Electronic City,2 BHK,1342,2,1,Bangalore,7330000,2,0,5461.997019
Built-up  Area,19-12-2024 00:00,Uttarahalli,2 BHK,1345,2,1,Bangalore,6700000,2,0,4981.412639
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,1320,3,0,Bangalore,6500000,3,1,4924.242424
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,,2,2,Bangalore,4500000,2,1,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2,1,Bangalore,4939000,2,1,4332.45614
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1300,2,1,Bangalore,5000000,2,1,3846.153846
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,1652,3,2,Bangalore,8500000,3,1,5145.27845
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4,2,Bangalore,14200000,3,1,6853.281853
Built-up  Area,Ready To Move,Arekere,3 BHK,1740,2,2,Bangalore,9500000,3,1,5459.770115
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2,1,Bangalore,7100000,3,1,5220.588235
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1145,2,2,Bangalore,6000000,3,1,5240.174672
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540,2,0,Bangalore,4000000,3,1,2597.402597
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1278,2,2,Bangalore,9500000,2,1,7433.489828
Super built-up  Area,18-05-2024 00:00,Electronic City Phase II,1 BHK,630,1,1,Bangalore,4000000,1,0,6349.206349
Super built-up  Area,21-01-2024 00:00,Kanakpura Road,3 BHK,1100,3,2,Bangalore,5800000,3,0,5272.727273
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,1200,3,0,Bangalore,9500000,3,1,7916.666667
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,2500,6,2,Bangalore,11500000,7,1,4600
Super built-up  Area,18-06-2024 00:00,Chandapura,1 BHK,582.5,1,0,Bangalore,1513500,1,0,2598.283262
Super built-up  Area,18-09-2024 00:00,Chandapura,2 BHK,1015,2,2,Bangalore,2588000,2,0,2549.753695
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,3300,5,2,Bangalore,24000000,5,1,7272.727273
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,4500,5,1,Bangalore,41500000,5,1,9222.222222
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1356,2,3,Bangalore,6600000,3,1,4867.256637
Super built-up  Area,Ready To Move,Hennagara,2 BHK,823,2,1,Bangalore,2800000,2,1,3402.18712
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2,0,Bangalore,6600000,3,1,5500
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050,2,0,Bangalore,3700000,2,1,3523.809524
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,1180,2,1,Bangalore,6900000,2,1,5847.457627
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,3,Bangalore,5191000,2,1,4651.433692
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070,2,1,Bangalore,4279000,2,1,3999.065421
